#::	$Id: nmap-mac-prefixes 4117 2006-11-02 19:46:28Z fyodor $ generated with make-mac-prefixes.pl
#::	Original data comes from http://standards.ieee.org/regauth/oui/oui.txt
#::	These values are known as Organizationally Unique Identifiers (OUIs)
#::	See http://standards.ieee.org/faqs/OUI.html
#::	We have added a few unregistered OUIs at the end.
00:03:80	SSH Communications Security
00:03:81	Ingenico International
00:03:82	A-One Co.
00:03:83	Metera Networks
00:03:84	Aeta
00:03:85	Actelis Networks
00:03:86	Ho Net
00:03:87	Blaze Network Products
00:03:88	Fastfame Technology Co.
00:03:89	Plantronics
00:03:8A	America Online
00:03:8B	Plus-one I&T
00:03:8C	Total Impact
00:03:8D	PCS Revenue Control Systems
00:03:8E	Atoga Systems
00:03:8F	Weinschel
00:03:90	Digital Video Communications
00:03:91	Advanced Digital Broadcast
00:03:92	Hyundai Teletek Co.
00:03:93	Apple Computer
00:03:94	Connect One
00:03:95	California Amplifier
00:03:96	EZ Cast Co.
00:03:97	Watchfront Electronics
00:03:98	Wisi
00:03:99	Dongju Informations & Communications Co.
00:03:9A	nSine
00:03:9B	NetChip Technology
00:03:9C	OptiMight Communications
00:03:9D	Benq
00:03:9E	Tera System Co.
00:03:9F	Cisco Systems
00:03:A0	Cisco Systems
00:03:A1	Hiper Information & Communication
00:03:A2	Catapult Communications
00:03:A3	Mavix
00:03:A4	Data Storage and Information Management
00:03:A5	Medea
00:03:A6	Traxit Technology
00:03:A7	Unixtar Technology
00:03:A8	Idot Computers
00:03:A9	Axcent Media AG
00:03:AA	Watlow
00:03:AB	Bridge Information Systems
00:03:AC	Fronius Schweissmaschinen
00:03:AD	Emerson Energy Systems AB
00:03:AE	Allied Advanced Manufacturing Pte
00:03:AF	Paragea Communications
00:03:B0	Xsense Technology
00:03:B1	Hospira
00:03:B2	Radware
00:03:B3	IA Link Systems Co.
00:03:B4	Macrotek International
00:03:B5	Entra Technology Co.
00:03:B6	QSI
00:03:B7	Zaccess Systems
00:03:B8	NetKit Solutions
00:03:B9	Hualong Telecom Co.
00:03:BA	Sun Microsystems
00:03:BB	Signal Communications Limited
00:03:BC	COT GmbH
00:03:BD	OmniCluster Technologies
00:03:BE	Netility
00:03:BF	Centerpoint Broadband Technologies
00:03:C0	Rftnc Co.
00:03:C1	Packet Dynamics
00:03:C2	Solphone K.K.
00:03:C3	Micronik Multimedia
00:03:C4	Tomra Systems ASA
00:03:C5	Mobotix AG
00:03:C6	Icue Systems
00:03:C7	hopf Elektronik GmbH
00:03:C8	CML Emergency Services
00:03:C9	Tecom Co.
00:03:CA	MTS Systems
00:03:CB	Nippon Systems Development Co.
00:03:CC	Momentum Computer
00:03:CD	Clovertech
00:03:CE	Eten Technologies
00:03:CF	Muxcom
00:03:D0	Koankeiso Co.
00:03:D1	Takaya
00:03:D2	Crossbeam Systems
00:03:D3	Internet Energy Systems
00:03:D4	Alloptic
00:03:D5	Advanced Communications Co.
00:03:D6	Radvision
00:03:D7	NextNet Wireless
00:03:D8	iMPath Networks
00:03:D9	Secheron SA
00:03:DA	Takamisawa Cybernetics Co.
00:03:DB	Apogee Electronics
00:03:DC	Lexar Media
00:03:DD	Comark
00:03:DE	OTC Wireless
00:03:DF	Desana Systems
00:03:E0	RadioFrame Networks
00:03:E1	Winmate Communication
00:03:E2	Comspace
00:03:E3	Cisco Systems
00:03:E4	Cisco Systems
00:03:E5	Hermstedt SG
00:03:E6	Entone Technologies
00:03:E7	Logostek Co.
00:03:E8	Wavelength Digital Limited
00:03:E9	Akara Canada
00:03:EA	Mega System Technologies
00:03:EB	Atrica
00:03:EC	ICG Research
00:03:ED	Shinkawa Electric Co.
00:03:EE	MKNet
00:03:EF	Oneline AG
00:03:F0	Redfern Broadband Networks
00:03:F1	Cicada Semiconductor
00:03:F2	Seneca Networks
00:03:F3	Dazzle Multimedia
00:03:F4	NetBurner
00:03:F5	Chip2Chip
00:03:F6	Allegro Networks
00:03:F7	Plast-Control GmbH
00:03:F8	SanCastle Technologies
00:03:F9	Pleiades Communications
00:03:FA	TiMetra Networks
00:03:FB	Toko Seiki Company
00:03:FC	Intertex Data AB
00:03:FD	Cisco Systems
00:03:FE	Cisco Systems
00:03:FF	Microsoft
00:04:00	Lexmark International
00:04:01	Osaki Electric Co.
00:04:02	Nexsan Technologies
00:04:03	Nexsi
00:04:04	Makino Milling Machine Co.
00:04:05	ACN Technologies
00:04:06	Fa. Metabox AG
00:04:07	Topcon Positioning Systems
00:04:08	Sanko Electronics Co.
00:04:09	Cratos Networks
00:04:0A	Sage Systems
00:04:0B	3com Europe
00:04:0C	Kanno Work's
00:04:0D	Avaya
00:04:0E	AVM GmbH
00:04:0F	Asus Network Technologies
00:04:10	Spinnaker Networks
00:04:11	Inkra Networks
00:04:12	WaveSmith Networks
00:04:13	Snom Technology AG
00:04:14	Umezawa Musen Denki Co.
00:04:15	Rasteme Systems Co.
00:04:16	Parks S/A Comunicacoes Digitais
00:04:17	Elau AG
00:04:18	TeltronicU.
00:04:19	Fibercycle Networks
00:04:1A	ines GmbH
00:04:1B	Digital Interfaces
00:04:1C	ipDialog
00:04:1D	Corega of America
00:04:1E	Shikoku Instrumentation Co.
00:04:1F	Sony Computer Entertainment
00:04:20	Slim Devices
00:04:21	Ocular Networks
00:04:22	Gordon Kapes
00:04:23	Intel
00:04:24	TMC s.r.l.
00:04:25	Atmel
00:04:26	Autosys
00:04:27	Cisco Systems
00:04:28	Cisco Systems
00:04:29	Pixord
00:04:2A	Wireless Networks
00:04:2B	IT Access Co.
00:04:2C	Minet
00:04:2D	Sarian Systems
00:04:2E	Netous Technologies
00:04:2F	International Communications Products
00:04:30	Netgem
00:04:31	GlobalStreams
00:04:32	Voyetra Turtle Beach
00:04:33	Cyberboard A/S
00:04:34	Accelent Systems
00:04:35	Comptek International
00:04:36	Elansat Technologies
00:04:37	Powin Information Technology
00:04:38	Nortel Networks
00:04:39	Rosco Entertainment Technology
00:04:3A	Intelligent Telecommunications
00:04:3B	Lava Computer Mfg.
00:04:3C	Sonos Co.
00:04:3D	Indel AG
00:04:3E	Telencomm
00:04:3F	Electronic Systems Technology
00:04:40	cyberPIXIE
00:04:41	Half Dome Systems
00:04:42	Nact
00:04:43	Agilent Technologies
00:04:44	Western Multiplex
00:04:45	LMS Skalar Instruments GmbH
00:04:46	Cyzentech Co.
00:04:47	Acrowave Systems Co.
00:04:48	Polaroid Professional Imaging
00:04:49	Mapletree Networks
00:04:4A	iPolicy Networks
00:04:4B	Nvidia
00:04:4C	Jenoptik
00:04:4D	Cisco Systems
00:04:4E	Cisco Systems
00:04:4F	Leukhardt Systemelektronik GmbH
00:04:50	DMD Computers SRL
00:04:51	Medrad
00:04:52	RocketLogix
00:04:53	YottaYotta
00:04:54	Quadriga UK
00:04:55	Antara.net
00:04:56	PipingHot Networks
00:04:57	Universal Access Technology
00:04:58	Fusion X Co.
00:04:59	Veristar
00:04:5A	The Linksys Group
00:04:5B	Techsan Electronics Co.
00:04:5C	Mobiwave Pte
00:04:5D	Beka Elektronik
00:04:5E	PolyTrax Information Technology AG
00:04:5F	Evalue Technology
00:04:60	Knilink Technology
00:04:61	Epox Computer Co.
00:04:62	Dakos Data & Communication Co.
00:04:63	Bosch Security Systems
00:04:64	Fantasma Networks
00:04:65	i.s.t isdn-support technik GmbH
00:04:66	Armitel Co.
00:04:67	Wuhan Research Institute of MII
00:04:68	Vivity
00:04:69	Innocom
00:04:6A	Navini Networks
00:04:6B	Palm Wireless
00:04:6C	Cyber Technology Co.
00:04:6D	Cisco Systems
00:04:6E	Cisco Systems
00:04:6F	Digitel S/A Industria Eletronica
00:04:70	ipUnplugged AB
00:04:71	IPrad
00:04:72	Telelynx
00:04:73	Photonex
00:04:74	Legrand
00:04:75	3 Com
00:04:76	3 Com
00:04:77	Scalant Systems
00:04:78	G. Star Technology
00:04:79	Radius Co.
00:04:7A	Axxessit ASA
00:04:7B	Schlumberger
00:04:7C	Skidata AG
00:04:7D	Pelco
00:04:7E	Optelecom=NKF
00:04:7F	Chr. Mayr GmbH & Co. KG
00:04:80	Foundry Networks
00:04:81	Econolite Control Products
00:04:82	Medialogic
00:04:83	Deltron Technology
00:04:84	Amann GmbH
00:04:85	PicoLight
00:04:86	ITTC, University of Kansas
00:04:87	Cogency Semiconductor
00:04:88	Eurotherm Controls
00:04:89	Yafo Networks
00:04:8A	Temia Vertriebs GmbH
00:04:8B	Poscon
00:04:8C	Nayna Networks
00:04:8D	Tone Commander Systems
00:04:8E	Ohm Tech Labs
00:04:8F	TD Systems
00:04:90	Optical Access
00:04:91	Technovision
00:04:92	Hive Internet
00:04:93	Tsinghua Unisplendour Co.
00:04:94	Breezecom
00:04:95	Tejas Networks
00:04:96	Extreme Networks
00:04:97	MacroSystem Digital Video AG
00:04:98	Mahi Networks
00:04:99	Chino
00:04:9A	Cisco Systems
00:04:9B	Cisco Systems
00:04:9C	Surgient Networks
00:04:9D	Ipanema Technologies
00:04:9E	Wirelink Co.
00:04:9F	Freescale Semiconductor
00:04:A0	Verity Instruments
00:04:A1	Pathway Connectivity
00:04:A2	L.S.I. Japan Co.
00:04:A3	Microchip Technology
00:04:A4	NetEnabled
00:04:A5	Barco Projection Systems NV
00:04:A6	SAF Tehnika
00:04:A7	FabiaTech
00:04:A8	Broadmax Technologies
00:04:A9	SandStream Technologies
00:04:AA	Jetstream Communications
00:04:AB	Comverse Network Systems
00:04:AC	IBM
00:04:AD	Malibu Networks
00:04:AE	Liquid Metronics
00:04:AF	Digital Fountain
00:04:B0	Elesign Co.
00:04:B1	Signal Technology
00:04:B2	Essegi SRL
00:04:B3	Videotek
00:04:B4	Ciac
00:04:B5	Equitrac
00:04:B6	Stratex Networks
00:04:B7	AMB i.t. Holding
00:04:B8	Kumahira Co.
00:04:B9	S.I. Soubou
00:04:BA	KDD Media Will
00:04:BB	Bardac
00:04:BC	Giantec
00:04:BD	Motorola BCS
00:04:BE	OptXCon
00:04:BF	VersaLogic
00:04:C0	Cisco Systems
00:04:C1	Cisco Systems
00:04:C2	Magnipix
00:04:C3	Castor Informatique
00:04:C4	Allen & Heath Limited
00:04:C5	ASE Technologies
00:04:C6	Yamaha Motor Co.
00:04:C7	NetMount
00:04:C8	Liba Maschinenfabrik Gmbh
00:04:C9	Micro Electron Co.
00:04:CA	FreeMs
00:04:CB	Tdsoft Communication
00:04:CC	Peek Traffic B.V.
00:04:CD	Informedia Research Group
00:04:CE	Patria Ailon
00:04:CF	Seagate Technology
00:04:D0	Softlink s.r.o.
00:04:D1	Drew Technologies
00:04:D2	Adcon Telemetry GmbH
00:04:D3	Toyokeiki Co.
00:04:D4	Proview Electronics Co.
00:04:D5	Hitachi Communication Systems
00:04:D6	Takagi Industrial Co.
00:04:D7	Omitec Instrumentation
00:04:D8	IPWireless
00:04:D9	Titan Electronics
00:04:DA	Relax Technology
00:04:DB	Tellus Group
00:04:DC	Nortel Networks
00:04:DD	Cisco Systems
00:04:DE	Cisco Systems
00:04:DF	Teracom Telematica Ltda.
00:04:E0	Procket Networks
00:04:E1	Infinior Microsystems
00:04:E2	SMC Networks
00:04:E3	Accton Technology
00:04:E4	Daeryung Ind.
00:04:E5	Glonet Systems
00:04:E6	Banyan Network Private Limited
00:04:E7	Lightpointe Communications
00:04:E8	IER
00:04:E9	Infiniswitch
00:04:EA	Hewlett-Packard Company
00:04:EB	Paxonet Communications
00:04:EC	Memobox SA
00:04:ED	Billion Electric Co.
00:04:EE	Lincoln Electric Company
00:04:EF	Polestar
00:04:F0	International Computers
00:04:F1	WhereNet
00:04:F2	Polycom
00:04:F3	FS Forth-systeme Gmbh
00:04:F4	Infinite Electronics
00:04:F5	SnowShore Networks
00:04:F6	Amphus
00:04:F7	Omega Band
00:04:F8	Qualicable TV Industria E Com.
00:04:F9	Xtera Communications
00:04:FA	NBS Technologies
00:04:FB	Commtech
00:04:FC	Stratus Computer (DE)
00:04:FD	Japan Control Engineering Co.
00:04:FE	Pelago Networks
00:04:FF	Acronet Co.
00:05:00	Cisco Systems
00:05:01	Cisco Systems
00:05:02	Apple Computer
00:05:03	Iconag
00:05:04	Naray Information & Communication Enterprise
00:05:05	Systems Integration Solutions
00:05:06	Reddo Networks AB
00:05:07	Fine Appliance
00:05:08	Inetcam
00:05:09	Avoc Nishimura
00:05:0A	ICS Spa
00:05:0B	Sicom Systems
00:05:0C	Network Photonics
00:05:0D	Midstream Technologies
00:05:0E	3ware
00:05:0F	Tanaka S/S
00:05:10	Infinite Shanghai Communication Terminals
00:05:11	Complementary Technologies
00:05:12	MeshNetworks
00:05:13	VTLinx Multimedia Systems
00:05:14	KDT Systems Co.
00:05:15	Nuark Co.
00:05:16	Smart Modular Technologies
00:05:17	Shellcomm
00:05:18	Jupiters Technology
00:05:19	Siemens Building Technologies AG,
00:05:1A	3Com Europe
00:05:1B	Magic Control Technology
00:05:1C	Xnet Technology
00:05:1D	Airocon
00:05:1E	Brocade Communications Systems
00:05:1F	Taijin Media Co.
00:05:20	Smartronix
00:05:21	Control Microsystems
00:05:22	LEA*D
00:05:23	AVL List GmbH
00:05:24	BTL System (HK) Limited
00:05:25	Puretek Industrial Co.
00:05:26	Ipas Gmbh
00:05:27	SJ Tek Co.
00:05:28	New Focus
00:05:29	Shanghai Broadan Communication Technology Co.
00:05:2A	Ikegami Tsushinki Co.
00:05:2B	Horiba
00:05:2C	Supreme Magic
00:05:2D	Zoltrix International Limited
00:05:2E	Cinta Networks
00:05:2F	Leviton Voice and Data
00:05:30	Andiamo Systems
00:05:31	Cisco Systems
00:05:32	Cisco Systems
00:05:33	Sanera Systems
00:05:34	Northstar Engineering
00:05:35	Chip PC
00:05:36	Danam Communications
00:05:37	Nets Technology Co.
00:05:38	Merilus
00:05:39	A Brand New World in Sweden AB
00:05:3A	Willowglen Services Pte
00:05:3B	Harbour Networks, Co. Beijing
00:05:3C	Xircom
00:05:3D	Agere Systems
00:05:3E	KID Systeme GmbH
00:05:3F	VisionTek
00:05:40	Fast
00:05:41	Advanced Systems Co.
00:05:42	Otari
00:05:43	IQ Wireless GmbH
00:05:44	Valley Technologies
00:05:45	Internet Photonics
00:05:46	Kddi Network & Solultions
00:05:47	Starent Networks
00:05:48	Disco
00:05:49	Salira Optical Network Systems
00:05:4A	Ario Data Networks
00:05:4B	Micro Innovation AG
00:05:4C	RF Innovations
00:05:4D	Brans Technologies
00:05:4E	Philips Components
00:05:4F	Private
00:05:50	Vcomms Limited
00:05:51	F & S Elektronik Systeme GmbH
00:05:52	Xycotec Computer GmbH
00:05:53	DVC Company
00:05:54	Rangestar Wireless
00:05:55	Japan Cash Machine Co.
00:05:56	360 Systems
00:05:57	Agile TV
00:05:58	Synchronous
00:05:59	Intracom S.A.
00:05:5A	Power Dsine
00:05:5B	Charles Industries
00:05:5C	Kowa Company
00:05:5D	D-Link Systems
00:05:5E	Cisco Systems
00:05:5F	Cisco Systems
00:05:60	Leader Comm.co.
00:05:61	nac Image Technology
00:05:62	Digital View Limited
00:05:63	J-Works
00:05:64	Tsinghua Bitway Co.
00:05:65	Tailyn Communication Company
00:05:66	Secui.com
00:05:67	Etymonic Design
00:05:68	Piltofish Networks AB
00:05:69	Vmware
00:05:6A	Heuft Systemtechnik GmbH
00:05:6B	C.P. Technology Co.
00:05:6C	Hung Chang Co.
00:05:6D	Pacific
00:05:6E	National Enhance Technology
00:05:6F	Innomedia Technologies Pvt.
00:05:70	Baydel
00:05:71	Seiwa Electronics Co.
00:05:72	Deonet Co.
00:05:73	Cisco Systems
00:05:74	Cisco Systems
00:05:75	CDS-Electronics BV
00:05:76	NSM Technology
00:05:77	SM Information & Communication
00:05:78	Private
00:05:79	Universal Control Solution
00:05:7A	Hatteras Networks
00:05:7B	Chung Nam Electronic Co.
00:05:7C	RCO Security AB
00:05:7D	Sun Communications
00:05:7E	Eckelmann Steuerungstechnik GmbH
00:05:7F	Acqis Technology
00:05:80	Fibrolan
00:05:81	Snell & Wilcox
00:05:82	ClearCube Technology
00:05:83	ImageCom Limited
00:05:84	AbsoluteValue Systems
00:05:85	Juniper Networks
00:05:86	Lucent Technologies
00:05:87	Locus, Incorporated
00:05:88	Sensoria
00:05:89	National Datacomputer
00:05:8A	Netcom Co.
00:05:8B	IPmental
00:05:8C	Opentech
00:05:8D	Lynx Photonic Networks
00:05:8E	Flextronics International GmbH & Co. Nfg. KG
00:05:8F	CLCsoft co.
00:05:90	Swissvoice
00:05:91	Active Silicon
00:05:92	Pultek
00:05:93	Grammar Engine
00:05:94	Ixxat Automation Gmbh
00:05:95	Alesis
00:05:96	Genotech Co.
00:05:97	Eagle Traffic Control Systems
00:05:98	Cronos S.r.l.
00:05:99	DRS Test and Energy Management or DRS-TEM
00:05:9A	Cisco Systems
00:05:9B	Cisco Systems
00:05:9C	Kleinknecht GmbH, Ing. Buero
00:05:9D	Daniel Computing Systems
00:05:9E	Zinwell
00:05:9F	Yotta Networks
00:05:A0	Mobiline Kft.
00:05:A1	Zenocom
00:05:A2	Celox Networks
00:05:A3	QEI
00:05:A4	Lucid Voice
00:05:A5	Kott
00:05:A6	Extron Electronics
00:05:A7	Hyperchip
00:05:A8	Wyle Electronics
00:05:A9	Princeton Networks
00:05:AA	Moore Industries International
00:05:AB	Cyber Fone
00:05:AC	Northern Digital
00:05:AD	Topspin Communications
00:05:AE	Mediaport USA
00:05:AF	InnoScan Computing A/S
00:05:B0	Korea Computer Technology Co.
00:05:B1	ASB Technology BV
00:05:B2	Medison Co.
00:05:B3	Asahi-Engineering Co.
00:05:B4	Aceex
00:05:B5	Broadcom Technologies
00:05:B6	Insys Microelectronics Gmbh
00:05:B7	Arbor Technology
00:05:B8	Electronic Design Associates
00:05:B9	Airvana
00:05:BA	Area Netwoeks
00:05:BB	Myspace AB
00:05:BC	Resorsys
00:05:BD	Roax BV
00:05:BE	Kongsberg Seatex AS
00:05:BF	JustEzy Technology
00:05:C0	Digital Network Alacarte Co.
00:05:C1	A-Kyung Motion
00:05:C2	Soronti
00:05:C3	Pacific Instruments
00:05:C4	Telect
00:05:C5	Flaga HF
00:05:C6	Triz Communications
00:05:C7	I/f-com A/S
00:05:C8	Verytech
00:05:C9	LG Innotek
00:05:CA	Hitron Technology
00:05:CB	Rois Technologies
00:05:CC	Sumtel Communications
00:05:CD	Denon
00:05:CE	Prolink Microsystems
00:05:CF	Thunder River Technologies
00:05:D0	Solinet Systems
00:05:D1	Metavector Technologies
00:05:D2	DAP Technologies
00:05:D3	eProduction Solutions
00:05:D4	FutureSmart Networks
00:05:D5	Speedcom Wireless
00:05:D6	Titan Wireless
00:05:D7	Vista Imaging
00:05:D8	Arescom
00:05:D9	Techno Valley
00:05:DA	Apex Automationstechnik
00:05:DB	Nentec GmbH
00:05:DC	Cisco Systems
00:05:DD	Cisco Systems
00:05:DE	Gi Fone Korea
00:05:DF	Electronic Innovation
00:05:E0	Empirix
00:05:E1	Trellis Photonics
00:05:E2	Creativ Network Technologies
00:05:E3	LightSand Communications
00:05:E4	Red Lion Controls L.P.
00:05:E5	Renishaw PLC
00:05:E6	Egenera
00:05:E7	Netrake
00:05:E8	TurboWave
00:05:E9	Unicess Network
00:05:EA	Rednix
00:05:EB	Blue Ridge Networks
00:05:EC	Mosaic Systems
00:05:ED	Technikum Joanneum GmbH
00:05:EE	Bewator Group
00:05:EF	Adoir Digital Technology
00:05:F0	Satec
00:05:F1	Vrcom
00:05:F2	Power
00:05:F3	Weboyn
00:05:F4	System Base Co.
00:05:F5	OYO Geospace
00:05:F6	Young Chang Co.
00:05:F7	Analog Devices
00:05:F8	Real Time Access
00:05:F9	TOA
00:05:FA	IPOptical
00:05:FB	ShareGate
00:05:FC	Schenck Pegasus
00:05:FD	PacketLight Networks
00:05:FE	Traficon N.V.
00:05:FF	SNS Solutions
00:06:00	Toshiba Teli
00:06:01	Otanikeiki Co.
00:06:02	Cirkitech Electronics Co.
00:06:03	Baker Hughes
00:06:04	@Track Communications
00:06:05	Inncom International
00:06:06	RapidWAN
00:06:07	Omni Directional Control Technology
00:06:08	At-Sky SAS
00:06:09	Crossport Systems
00:06:0A	Blue2space
00:06:0B	Paceline Systems
00:06:0C	Melco Industries
00:06:0D	Wave7 Optics
00:06:0E	Igys Systems
00:06:0F	Narad Networks
00:06:10	Abeona Networks
00:06:11	Zeus Wireless
00:06:12	Accusys
00:06:13	Kawasaki Microelectronics Incorporated
00:06:14	Prism Holdings
00:06:15	Kimoto Electric Co.
00:06:16	Tel Net Co.
00:06:17	Redswitch
00:06:18	DigiPower Manufacturing
00:06:19	Connection Technology Systems
00:06:1A	Zetari
00:06:1B	Portable Systems, IBM Japan Co
00:06:1C	Hoshino Metal Industries
00:06:1D	MIP Telecom
00:06:1E	Maxan Systems
00:06:1F	Vision Components GmbH
00:06:20	Serial System
00:06:21	Hinox, Co.
00:06:22	Chung Fu Chen Yeh Enterprise
00:06:23	MGE UPS Systems France
00:06:24	Gentner Communications
00:06:25	The Linksys Group
00:06:26	MWE GmbH
00:06:27	Uniwide Technologies
00:06:28	Cisco Systems
00:06:29	IBM
00:06:2A	Cisco Systems
00:06:2B	Intraserver Technology
00:06:2C	Network Robots
00:06:2D	TouchStar Technologies, L.L.C.
00:06:2E	Aristos Logic
00:06:2F	Pivotech Systems
00:06:30	Adtranz Sweden
00:06:31	Optical Solutions
00:06:32	Mesco Engineering GmbH
00:06:33	Smiths Heimann Biometric Systems
00:06:34	GTE Airfone
00:06:35	PacketAir Networks
00:06:36	Jedai Broadband Networks
00:06:37	Toptrend-Meta Information (ShenZhen)
00:06:38	Sungjin C&C Co.
00:06:39	Newtec
00:06:3A	Dura Micro
00:06:3B	Arcturus Networks
00:06:3C	NMI Electronics
00:06:3D	Microwave Data Systems
00:06:3E	Opthos
00:06:3F	Everex Communications
00:06:40	White Rock Networks
00:06:41	Itcn
00:06:42	Genetel Systems
00:06:43	Sono Computer Co.
00:06:44	Neix
00:06:45	Meisei Electric Co.
00:06:46	ShenZhen XunBao Network Technology Co
00:06:47	Etrali S.A.
00:06:48	Seedsware
00:06:49	Quante
00:06:4A	Honeywell Co., (korea)
00:06:4B	Alexon Co.
00:06:4C	Invicta Networks
00:06:4D	Sencore
00:06:4E	Broad Net Technology
00:06:4F	Pro-nets Technology
00:06:50	Tiburon Networks
00:06:51	Aspen Networks
00:06:52	Cisco Systems
00:06:53	Cisco Systems
00:06:54	Maxxio Technologies
00:06:55	Yipee
00:06:56	Tactel AB
00:06:57	Market Central
00:06:58	Helmut Fischer GmbH & Co. KG
00:06:59	EAL (Apeldoorn) B.V.
00:06:5A	Strix Systems
00:06:5B	Dell Computer
00:06:5C	Malachite Technologies
00:06:5D	Heidelberg Web Systems
00:06:5E	Photuris
00:06:5F	ECI Telecom - Ngts
00:06:60	Nadex Co.
00:06:61	NIA Home Technologies
00:06:62	MBM Technology
00:06:63	Human Technology Co.
00:06:64	Fostex
00:06:65	Sunny Giken
00:06:66	Roving Networks
00:06:67	Tripp Lite
00:06:68	Vicon Industries
00:06:69	Datasound Laboratories
00:06:6A	InfiniCon Systems
00:06:6B	Sysmex
00:06:6C	Robinson
00:06:6D	Compuprint S.P.A.
00:06:6E	Delta Electronics
00:06:6F	Korea Data Systems
00:06:70	Upponetti Oy
00:06:71	Softing AG
00:06:72	Netezza
00:06:73	Optelecom-nkf
00:06:74	Spectrum Control
00:06:75	Banderacom
00:06:76	Novra Technologies
00:06:77	Sick AG
00:06:78	Marantz Japan
00:06:79	Konami
00:06:7A	JMP Systems
00:06:7B	Toplink C&C
00:06:7C	Cisco Systems
00:06:7D	Takasago
00:06:7E	WinCom Systems
00:06:7F	Rearden Steel Technologies
00:06:80	Card Access
00:06:81	Goepel Electronic GmbH
00:06:82	Convedia
00:06:83	Bravara Communications
00:06:84	Biacore AB
00:06:85	NetNearU
00:06:86	Zardcom Co.
00:06:87	Omnitron Systems Technology
00:06:88	Telways Communication Co.
00:06:89	yLez Technologies Pte
00:06:8A	NeuronNet Co. R&D Center
00:06:8B	AirRunner Technologies
00:06:8C	3Com
00:06:8D	Sepaton
00:06:8E	HID
00:06:8F	Telemonitor
00:06:90	Euracom Communication GmbH
00:06:91	PT Inovacao
00:06:92	Intruvert Networks
00:06:93	Flexus Computer Technology
00:06:94	Mobillian
00:06:95	Ensure Technologies
00:06:96	Advent Networks
00:06:97	R & D Center
00:06:98	egnite Software GmbH
00:06:99	Vida Design Co.
00:06:9A	e & Tel
00:06:9B	AVT Audio Video Technologies GmbH
00:06:9C	Transmode Systems AB
00:06:9D	Petards Mobile Intelligence
00:06:9E	Uniqa
00:06:9F	Kuokoa Networks
00:06:A0	Mx Imaging
00:06:A1	Celsian Technologies
00:06:A2	Microtune
00:06:A3	Bitran
00:06:A4	Innowell
00:06:A5	Pinon
00:06:A6	Artistic Licence (UK)
00:06:A7	Primarion
00:06:A8	KC Technology
00:06:A9	Universal Instruments
00:06:AA	Miltope
00:06:AB	W-Link Systems
00:06:AC	Intersoft Co.
00:06:AD	KB Electronics
00:06:AE	Himachal Futuristic Communications
00:06:AF	Private
00:06:B0	Comtech EF Data
00:06:B1	Sonicwall
00:06:B2	Linxtek Co.
00:06:B3	Diagraph
00:06:B4	Vorne Industries
00:06:B5	Luminent
00:06:B6	Nir-Or Israel
00:06:B7	Telem Gmbh
00:06:B8	Bandspeed
00:06:B9	A5TEK
00:06:BA	Westwave Communications
00:06:BB	ATI Technologies
00:06:BC	Macrolink
00:06:BD	Bntechnology Co.
00:06:BE	Baumer Optronic GmbH
00:06:BF	Accella Technologies Co.
00:06:C0	United Internetworks
00:06:C1	Cisco Systems
00:06:C2	Smartmatic
00:06:C3	Schindler Elevators
00:06:C4	Piolink
00:06:C5	Innovi Technologies Limited
00:06:C6	lesswire AG
00:06:C7	Rfnet Technologies Pte (S)
00:06:C8	Sumitomo Metal Micro Devices
00:06:C9	Technical Marketing Research
00:06:CA	American Computer & Digital Components, (acdc)
00:06:CB	Jotron Electronics A/S
00:06:CC	JMI Electronics Co.
00:06:CD	Creo IL.
00:06:CE	Dateno
00:06:CF	Thales Avionics In-Flight Systems
00:06:D0	Elgar Electronics
00:06:D1	Tahoe Networks
00:06:D2	Tundra Semiconductor
00:06:D3	Alpha Telecom, U.S.A.
00:06:D4	Interactive Objects
